parkname,rum_mean_per_trip,std_dev_rum,ci_lo_2.5_rum,ci_hi_97.5_rum,rum_total_annual_loss,parkname_numeric,mdcev_mean_per_person,std.dev,ci_lo2.5%,ci_hi97.5%,rum_annual_total,mdcev_annual_total,difference,year
Waimano Trail,-0.375322853855217,0.3259790835338761,-0.39086929478333676,-0.3597764129270973,-633.9203001614616,18,-0.0313160050795058,0.012618465867393692,-0.057624187947865745,-0.013205083829773439,-633.9203001614616,-42.213974847173816,-591.7063253142877,2019
Waimanu Campsite,-61.48944442467618,73.48566559050458,-64.9940881790587,-57.984800670293644,-103855.67163327806,19,-26.076807257403075,1.5294896358217402,-28.601643550357146,-23.459811225244643,-103855.67163327806,-35151.53618297935,-68704.13545029872,2019
Wiliwili,-2.3133939951490126,4.016054583350557,-2.5049257789288624,-2.1218622113691628,-3907.322457806682,20,-1.7510962100839698,0.43253082076743915,-2.51719085235369,-1.0694825621374178,-3907.322457806682,-2360.4776911931913,-1546.8447666134907,2019
Wiliwilinui Ridge Trail,-0.28137442165417503,0.2623987952121653,-0.29388862141555877,-0.2688602218927913,-475.24139817390164,21,-0.009769092346089093,0.004952757421137144,-0.01931489722526059,-0.003063328099362874,-475.24139817390164,-13.168736482528098,-462.0726616913735,2019
Ainapo Cabin,-1.7569324186773487,5.0916000449054835,-2.0606000313908233,-1.4532648059638744,-1897.4870121715367,1,-0.6685446926748663,0.22409845425536043,-1.072168032267641,-0.3033537468716553,-2967.458855146042,-901.1982457257197,-2066.260609420322,2020
Hipalau,-3.696171720157455,3.6169092410707395,-3.911887445067196,-3.480455995247714,-3991.8654577700513,2,-1.737744948679503,0.3513184541966434,-2.352357273377147,-1.197972289054724,-6242.834035345942,-2342.4801908199697,-3900.353844525972,2020
Kaluahaulu,-3.696166018378806,3.6166703860188316,-3.911867497758113,-3.480464538999499,-3991.8592998491104,3,-2.856577219522562,0.6695386537356448,-4.267130955112335,-1.9866731768871517,-6242.824405041803,-3850.6660919164137,-2392.1583131253897,2020
Kamananui Trail,-0.5569959505304704,0.48538253300880774,-0.5859446019861327,-0.528047299074808,-601.555626572908,4,-0.029445594839309905,0.013494813844601307,-0.05446848925317107,-0.009511443399196809,-940.7661604459644,-39.69266184338975,-901.0734986025747,2020
Kaunala Trail,-1.1179695430906955,1.0217314034726797,-1.1789065242735324,-1.0570325619078587,-1207.4071065379512,5,-0.2226420445489959,0.09563340080760863,-0.4362657258417333,-0.11085178795014695,-1888.2505582801848,-300.12147605204643,-1588.1290822281385,2020
Kawaikoi,-13.971705703479593,13.855988641258469,-14.798089346217989,-13.145322060741197,-15089.44215975796,6,-4.914739088162902,0.44835897527127633,-5.776881303641002,-4.090687838414591,-23598.210933177033,-6625.068290843592,-16973.14264233344,2020
Keanakolu Ranger & Bunkhouse Cabins,-3.0177852947160333,8.283085554376516,-3.5117959778048844,-2.523774611627182,-3259.208118293316,7,-0.8045607191349307,0.18580934692383777,-1.1099417190152465,-0.5251156531460753,-5097.03936277538,-1084.5478493938865,-4012.491513381494,2020
Kuaokala Trail,-16.93473384467137,14.216545714832066,-17.782621436033658,-16.086846253309083,-18289.51255224508,8,-3.369661736535805,0.3447101774436572,-4.172823732652435,-2.8770444883584236,-28602.765463649946,-4542.304020850265,-24060.461442799682,2020
Kulanaahane Trail,-0.8368657144604017,0.7295299278904418,-0.8803755364518571,-0.7933558924689463,-903.8149716172338,9,-0.08031312385616027,0.03290053955569963,-0.14552681720859043,-0.03427014461169365,-1413.4661917236185,-108.26209095810404,-1305.2041007655146,2020
