parkname,mean_cv_rum,std_dev_rum,ci_lo_2.5_rum,ci_hi_97.5_rum,rum_total_annual_loss,parkname_numeric,mean,std.dev,ci_lo2.5%,ci_hi97.5%,year
Kaluahaulu,-1.4209449391231217,2.3147964949911284,-1.5289994075817335,-1.31289047066451,-2505.1259276740634,3,-2.856577219522562,0.6695386537356448,-4.267130955112335,-1.9866731768871517,2020
Kamananui Trail,-1.4089560123184404,1.165399778954215,-1.4633567572345345,-1.3545552674023462,-2483.9894497174105,4,-0.029445594839309905,0.013494813844601307,-0.05446848925317107,-0.009511443399196809,2020
Kaunala Trail,-0.8430288327609622,0.7197051397734652,-0.876624596575807,-0.8094330689461173,-1486.2598321575763,5,-0.2226420445489959,0.09563340080760863,-0.4362657258417333,-0.11085178795014695,2020
Kawaikoi,-6.95012491411602,11.568110750979681,-7.490123164922189,-6.410126663309851,-12253.070223586543,6,-4.914739088162902,0.44835897527127633,-5.776881303641002,-4.090687838414591,2020
Keanakolu Ranger & Bunkhouse Cabins,-15.37250415447408,18.131083384504265,-16.218861310245945,-14.526146998702215,-27101.724824337805,7,-0.8045607191349307,0.18580934692383777,-1.1099417190152465,-0.5251156531460753,2020
Kuaokala Trail,-18.821577060644195,15.100476985852078,-19.526465813374053,-18.116688307914337,-33182.440357915715,8,-3.369661736535805,0.3447101774436572,-4.172823732652435,-2.8770444883584236,2020
Kulanaahane Trail,-0.46739699740042234,0.3864255006751957,-0.48543530105461513,-0.44935869374622955,-824.0209064169446,9,-0.08031312385616027,0.03290053955569963,-0.14552681720859043,-0.03427014461169365,2020
Kuliouou Trail,-2.361661293717641,2.1150321113383113,-2.4603907807624332,-2.262931806672849,-4163.608860824202,10,-0.189301289948964,0.04511336890505299,-0.28965943077295697,-0.11976401751887747,2020
Lonomea,-5.023796188927331,8.212542981111985,-5.407156872442172,-4.640435505412489,-8856.952681078883,11,-6.6530647192561245,0.7975964594587793,-7.967880475710091,-5.534647971194344,2020
Manana Trail,-1.693010906351475,1.377673241233491,-1.7573205552183437,-1.6287012574846065,-2984.7782278976506,13,-0.16995910893816937,0.04429905850161729,-0.2470280081083271,-0.09949110340101666,2020
